,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
0,DHBKHN,dai hoc bach khoa ha noi,dai hoc bach khoa ha noi,CNTT,cong nghe thong tin,cong nghe thong tin
1,vien dai hoc mo ha noi,vien dai hoc mo ha noi,vien dai hoc mo ha noi,khoa công nghệ thông tin,khoa cong nghe thong tin,cong nghe thong tin
2,Viện đại học Mở Hà Nội,vien dai hoc mo ha noi,vien dai hoc mo ha noi,Khoa công nghệ thông tin,khoa cong nghe thong tin,cong nghe thong tin
3,Fpt,fpt,fpt,Android,android,CannotFound
4,Dh công nghiệp hà nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
5,Dh công nghiệp hà nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
6,FPT university,fpt university,fpt university,marketing,marketing,marketing
7,back khoa aptech,back khoa aptech,back khoa aptech,cntt,cong nghe thong tin,cong nghe thong tin
8,quản trị doanh nghiệp,quan tri doanh nghiep,quan tri doanh nghiep,Đại học Kinh doanh và công nghệ Hà nội,dai hoc kinh doanh cong nghe ha noi,CannotFound
9,ĐH Công nghiệp Hà Nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,Kế toán kiểm toán,ke toan kiem toan,kiem toan
10,đại học y dược Cần Thơ,dai hoc y duoc can tho,dai hoc y duoc can tho,Y đa khoa,y da khoa,y khoa
11,khoa học quân sự,khoa hoc quan su,khoa hoc quan su,tiếng trung,tieng trung,su pham tieng trung quoc
12,Đại Học Thương Mại,dai hoc thuong mai,dai hoc thuong mai,Marketing,marketing,marketing
13,đại học văn lang,dai hoc van lang,dai hoc van lang,quan hệ công chúng và truyền thông,quan he cong chung truyen thong,CannotFound
14,Đại học Ngoại Ngữ ĐHQG HN,dai hoc ngoai ngu dai hoc quoc gia ha noi,dai hoc ngoai ngu dai hoc quoc gia ha noi,Tiếng Pháp,tieng phap,su pham tieng phap
15,Đại học Ngoại Ngữ ĐHQG HN,dai hoc ngoai ngu dai hoc quoc gia ha noi,dai hoc ngoai ngu dai hoc quoc gia ha noi,Tiếng Pháp,tieng phap,su pham tieng phap
16,Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,dai hoc kinh te ky thuat cong nghiep,dai hoc kinh te ky thuat cong nghiep,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
17,Đại học Cửu Long,dai hoc cuu long,dai hoc cuu long,Chuyên ngành kế toán,chuyen nganh ke toan,chuyen nganh
18,Trung tâm giáo dục thường xuyên đình xuyên,trung tam giao duc thuong xuyen dinh xuyen,trung tam giao duc thuong xuyen dinh xuyen,văn hóa và Công nghệ thông tin,van hoa cong nghe thong tin,cong nghe thong tin
19,trung cấp y dược mêkong,trung cap y duoc mekong,trung cap y duoc mekong,y sĩ đa khoa,y si da khoa,y khoa
20,Cao Đẳng Kinh Tế-Công Nghệ TPHCM,cao dang kinh te cong nghe hcm,cao dang kinh te cong nghe hcm,Quản trị nhà hàng và dịch vụ ăn uống,quan tri nha hang dich vu an uong,quan tri nha hang dich vu an uong
21,Trường Cao Đẳng Kinh Tế TPHCM,cao dang kinh te hcm,cao dang kinh te hcm,Kế toán,ke toan,ke toan
22,cd kt-kt,cao dang kt kt,cao dang kt kt,kế toán,ke toan,ke toan
23,Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,dai hoc kinh te ky thuat binh duong,Dược sĩ Trung học,duoc si trung hoc,duoc hoc
24,Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,dai hoc kinh te ky thuat binh duong,Dược sĩ Trung học,duoc si trung hoc,duoc hoc
25,Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,dai hoc kinh te ky thuat binh duong,Dược sĩ Trung học,duoc si trung hoc,duoc hoc
26,Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,dai hoc kinh te ky thuat binh duong,Dược sĩ Trung học,duoc si trung hoc,duoc hoc
27,THPT Thanh Đa,trung hoc pho thong thanh da,trung hoc pho thong thanh da,Không,khong,CannotFound
28,Nguyễn Tất Thành,nguyen tat thanh,nguyen tat thanh,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
29,Đại học Tài chính - Marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,Tài chính Bảo hiểm và đầu tư,tai chinh bao hiem dau tu,CannotFound
